id,campus,area,order,source_sheet,source_row,title_en,title_cn,artist_en,artist_cn,source_media,image_file,image_url,used_ai_super_resolution,source_width,source_height,output_width,output_height
gz-area2-09,guangzhou,2,9,GZ,12,Enchanted Arbor,幻木栖云,"Creative Art Tech (CAT) team:Zheyu Fu, Yuelu Li, David Yip",CAT团队：傅哲宇，李玥璐，叶纪文,xl/media/image11.jpeg,gz-area2-09-enchanted-arbor.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area2-09-enchanted-arbor.webp,True,1920,1080,3200,1800
gz-area3-01,guangzhou,3,1,GZ,13,GFP Bunny,GFP Bunny,Eduardo Kac,Eduardo Kac,xl/media/image12.png,gz-area3-01-gfp-bunny.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area3-01-gfp-bunny.webp,False,1440,2560,1440,2560
gz-area3-02,guangzhou,3,2,GZ,14,THE PAINTED PORTAL,畫境,JIARUI LI,李嘉睿,xl/media/image13.png,gz-area3-02-the-painted-portal.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area3-02-the-painted-portal.webp,True,1920,1080,3200,1800
gz-area3-03,guangzhou,3,3,GZ,15,Timemachine Love,时光机之恋,Shuyue Li,李姝玥,xl/media/image14.png,gz-area3-03-timemachine-love.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area3-03-timemachine-love.webp,False,3463,1837,3200,1697
gz-area4-01,guangzhou,4,1,GZ,16,Algorithms AI Digital Art 2026,算法 AI 数字艺术 2026,KADINE JAMES THE IMMERSIVE KIND,Kadine James / The Immersive KIND,xl/media/image15.png,gz-area4-01-algorithms-ai-digital-art-2026.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area4-01-algorithms-ai-digital-art-2026.webp,True,1862,1048,3200,1801
gz-area4-02,guangzhou,4,2,GZ,17,One Who Deviates,偏离者,Yulin Yao,姚钰琳,xl/media/image16.jpeg,gz-area4-02-one-who-deviates.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area4-02-one-who-deviates.webp,True,2646,1871,3200,2263
gz-area4-03,guangzhou,4,3,GZ,18,Human Computer,人机,Pierre Yishao Shum,岑逸少,xl/media/image17.jpeg,gz-area4-03-human-computer.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area4-03-human-computer.webp,False,3840,2160,3200,1800
gz-area4-04,guangzhou,4,4,GZ,19,Apparition,镜花,"Yilin Luo, Xuanyi Zhang, Jianwei Yang, Qiushi Zhou",罗伊琳，张轩逸，杨剑玮，周秋实,xl/media/image18.jpeg,gz-area4-04-apparition.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area4-04-apparition.webp,True,1920,1080,3200,1800
hk-area1-01,hong-kong,1,1,CWB,3,Mycelial Memories: A Living Archive of Deep Time,菌丝记忆：地质深时的活体档案,Azure Zhang,张骞文,xl/media/image31.jpeg,hk-area1-01-mycelial-memories-a-living-archive-of-deep-time.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/hk-area1-01-mycelial-memories-a-living-archive-of-deep-time.webp,True,1920,1080,3200,1800
hk-area1-02,hong-kong,1,2,CWB,4,Ocean of Whales,鲸海,"Yuyang JIANG, Yidong TAN",蒋雨洋，谭屹东,xl/media/image32.jpeg,hk-area1-02-ocean-of-whales.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/hk-area1-02-ocean-of-whales.webp,True,2635,3514,2400,3200
hk-area1-03,hong-kong,1,3,CWB,5,The World Tree,世界树,"Wenjing Mao, Yuxuan Chen, Yulin Yao, Shuyue Li, Hao Li",毛雯婧、陈聿暄、姚钰琳、李姝玥、李昊,xl/media/image4.jpeg,gz-area2-02-the-world-tree.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area2-02-the-world-tree.webp,False,4096,2321,3200,1813
hk-area1-04,hong-kong,1,4,CWB,6,Las Awichas,拉斯·阿维查斯,Violeta Ayala,Violeta Ayala,xl/media/image33.jpeg,hk-area1-04-las-awichas.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/hk-area1-04-las-awichas.webp,True,2451,2356,3200,3076
hk-area1-05,hong-kong,1,5,CWB,7,GFP Bunny,GFP Bunny,Eduardo Kac,Eduardo Kac,xl/media/image12.png,gz-area3-01-gfp-bunny.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area3-01-gfp-bunny.webp,False,1440,2560,1440,2560
hk-area2-01,hong-kong,2,1,CWB,8,Echoes of Earth 2.0,地球回响 2.0,Yishuai Zhang,张一帅,xl/media/image34.jpeg,hk-area2-01-echoes-of-earth-2-0.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/hk-area2-01-echoes-of-earth-2-0.webp,True,1920,1080,3200,1800
hk-area2-02,hong-kong,2,2,CWB,9,Phantom Ark,幻数方舟,Siyi Lu,卢思屹,xl/media/image35.png,hk-area2-02-phantom-ark.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/hk-area2-02-phantom-ark.webp,True,750,1000,1500,2000
hk-area2-03,hong-kong,2,3,CWB,10,What if I am an Instance?,我是被复制的吗？,Yu Tongzhou,俞同舟,xl/media/image36.jpeg,hk-area2-03-what-if-i-am-an-instance.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/hk-area2-03-what-if-i-am-an-instance.webp,True,2668,1501,3200,1800
hk-area2-04,hong-kong,2,4,CWB,11,Dual Nature,双重本性,Katerina Semenko,Katerina Semenko,xl/media/image37.jpeg,hk-area2-04-dual-nature.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/hk-area2-04-dual-nature.webp,True,1080,1920,1800,3200
hk-area2-05,hong-kong,2,5,CWB,12,Timemachine Love,时光机之恋,Shuyue Li,李姝玥,xl/media/image38.jpeg,hk-area2-05-timemachine-love.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/hk-area2-05-timemachine-love.webp,True,1920,1080,3200,1800
hk-area2-06,hong-kong,2,6,CWB,13,Moonset – In the Mundane World,凡尘里・月落乌啼,Shuyue Li,李姝玥,xl/media/image39.png,hk-area2-06-moonset-in-the-mundane-world.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/hk-area2-06-moonset-in-the-mundane-world.webp,True,750,1000,1500,2000
hk-area2-07,hong-kong,2,7,CWB,14,Techlore Empowerment,灵启数谕,"Kunxiao Du (Rose), James She",杜坤晓、许丕文,xl/media/image40.png,hk-area2-07-techlore-empowerment.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/hk-area2-07-techlore-empowerment.webp,True,750,1000,1500,2000
hk-area3-01,hong-kong,3,1,CWB,15,Kunpeng,鲲鹏,"Tuo Liu, Shuyue Li, Yuxuan Chen, Hao Li",刘拓，李姝玥，陈聿暄，李昊,xl/media/image41.png,hk-area3-01-kunpeng.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/hk-area3-01-kunpeng.webp,False,1440,2560,1440,2560
